"Folio_num_anon" "Poch" "Freq"
"1" 280 1 12
"2" 280 2 5
"3" 280 3 3
"4" 280 5 4
"5" 280 7 2
"6" 280 9 3
"7" 280 10 3
"8" 687 1 3
"9" 687 2 20
"10" 687 3 2
"11" 687 7 5
"12" 687 8 1
"13" 687 10 1
"14" 645 1 2
"15" 645 2 8
"16" 645 3 1
"17" 645 4 2
"18" 645 6 1
"19" 645 7 8
"20" 645 8 1
"21" 645 9 8
"22" 645 10 1
"23" 48 1 2
"24" 48 2 3
"25" 48 3 1
"26" 48 4 5
"27" 48 5 2
"28" 48 6 5
"29" 48 7 2
"30" 48 9 8
"31" 48 10 4
"32" 405 1 1
"33" 405 2 12
"34" 405 4 3
"35" 405 5 2
"36" 405 6 1
"37" 405 7 1
"38" 405 8 2
"39" 405 9 9
"40" 405 10 1
"41" 618 2 2
"42" 618 3 3
"43" 618 4 18
"44" 618 6 4
"45" 618 7 2
"46" 618 9 3
"47" 964 1 1
"48" 964 2 4
"49" 964 3 11
"50" 964 4 1
"51" 964 5 1
"52" 964 7 2
"53" 964 8 2
"54" 964 9 4
"55" 964 10 6
"56" 861 1 1
"57" 861 2 1
"58" 861 3 1
"59" 861 4 4
"60" 861 5 12
"61" 861 6 9
"62" 861 7 1
"63" 861 8 2
"64" 861 9 1
"65" 411 1 2
"66" 411 2 9
"67" 411 3 2
"68" 411 4 4
"69" 411 5 1
"70" 411 6 1
"71" 411 7 6
"72" 411 9 6
"73" 411 10 1
"74" 362 1 7
"75" 362 2 3
"76" 362 3 2
"77" 362 4 1
"78" 362 5 1
"79" 362 6 2
"80" 362 7 12
"81" 362 9 1
"82" 362 10 3
"83" 422 1 5
"84" 422 2 4
"85" 422 3 2
"86" 422 4 1
"87" 422 5 9
"88" 422 6 3
"89" 422 7 1
"90" 422 8 6
"91" 422 10 1
"92" 925 1 1
"93" 925 2 4
"94" 925 3 3
"95" 925 4 15
"96" 925 7 2
"97" 925 9 6
"98" 925 10 1
"99" 580 1 1
"100" 580 3 2
"101" 580 4 13
"102" 580 5 1
"103" 580 6 3
"104" 580 7 4
"105" 580 8 2
"106" 580 9 4
"107" 580 10 2
"108" 867 1 10
"109" 867 2 7
"110" 867 3 1
"111" 867 4 2
"112" 867 5 1
"113" 867 6 3
"114" 867 7 1
"115" 867 8 1
"116" 867 9 4
"117" 867 10 2
"118" 487 1 5
"119" 487 2 3
"120" 487 3 3
"121" 487 4 14
"122" 487 6 2
"123" 487 7 1
"124" 487 9 2
"125" 487 10 2
"126" 337 2 2
"127" 337 3 1
"128" 337 4 10
"129" 337 5 2
"130" 337 6 6
"131" 337 7 2
"132" 337 9 6
"133" 337 10 3
"134" 223 1 2
"135" 223 2 3
"136" 223 3 3
