"ID" "Folio_num_anon" "sample" "Sexo" "Poch" "consistency" "PC1" "PC2" "C4" "C5" "C6"
"1" 1 4 "Mexican" "F" "" 0 0.058202832 0.021230692 1 1 1
"2" 2 5 "Mexican" "M" "" 0 0.009620557 -0.025242769 3 3 3
"3" 3 6 "Mexican" "F" "" 0 -0.001757828 0.015895242 2 2 2
"4" 4 7 "Mexican" "F" "" 0 0.021451027 -0.026314974 3 3 3
"5" 5 8 "Mexican" "F" "" 0 0.024282107 0.014370937 1 1 6
"6" 6 9 "Mexican" "M" "" 0 0.00927407 0.033774831 2 1 6
"7" 7 10 "Mexican" "M" "" 0 -0.045410768 0.043635089 2 4 4
"8" 8 11 "Mexican" "M" "" 0 0.025285903 0.023439649 1 2 2
"9" 9 12 "Mexican" "M" "" 0 -0.043841415 0.016463764 2 4 4
"10" 10 13 "Mexican" "F" "" 0 -0.00677449 0.048299886 2 4 2
"11" 11 14 "Mexican" "M" "" 0 0.044248573 -0.061725451 3 3 3
"12" 12 15 "Mexican" "F" "" 0 0.026140937 -0.006479905 1 3 3
"13" 13 16 "Mexican" "F" "" 0 0.024736787 0.02183056 1 2 2
"14" 14 17 "Mexican" "M" "" 0 -0.020357285 -0.017200324 4 5 6
"15" 15 18 "Mexican" "F" "" 0 0.038005384 -0.005919166 3 3 1
"16" 16 19 "Mexican" "M" "" 0 -0.00669302 -0.019861555 3 3 3
"17" 17 20 "Mexican" "M" "" 0 -0.044104275 -0.028487474 4 5 5
"18" 18 21 "Mexican" "M" "" 0 -0.021120045 0.029826564 2 2 2
"19" 19 22 "Mexican" "M" "" 0 0.027553862 0.053147089 2 1 6
"20" 20 23 "Mexican" "F" "Round" 0.8125 -0.006292062 0.066543773 2 4 2
"21" 21 24 "Mexican" "M" "" 0 0.008923531 -0.042878054 3 3 3
"22" 22 25 "Mexican" "F" "" 0 -0.053532982 0.035968992 2 4 4
"23" 23 26 "Mexican" "M" "" 0 -0.021266328 0.010002123 4 2 2
"24" 24 27 "Mexican" "M" "" 0 -0.012535757 -0.040606168 3 5 5
"25" 25 28 "Mexican" "F" "" 0 0.014604387 -0.001267714 3 3 6
"26" 26 29 "Mexican" "M" "" 0 -0.045490502 0.015796846 4 5 4
"27" 27 30 "Mexican" "M" "" 0 0.01692438 -0.027364097 3 3 3
"28" 28 31 "Mexican" "M" "" 0 0.028629524 0.032940697 1 1 1
"29" 29 32 "Mexican" "M" "" 0 -0.067608379 0.001840691 4 5 4
"30" 30 33 "Mexican" "F" "" 0 0.024891951 0.038697279 1 2 2
"31" 31 34 "Mexican" "M" "" 0 -0.035177793 -0.052215446 4 5 5
