"A2" "B2" "C2" "D2" "E2" "F2" "G2" "H2" "J2" "K2" "L2" "M2" "N2" "O2" "P2" "Q2"
"1" 1 1 1 1 1 3 2 1 5 2 2 10 3 10 1 9
"2" 4 4 3 4 6 9 2 9 4 6 4 7 2 7 4 4
"3" 1 2 10 9 3 8 9 10 4 5 9 3 8 3 10 2
"4" 10 6 9 9 9 6 9 9 3 6 9 6 8 10 9 10
"5" 6 5 5 6 2 5 4 4 5 5 6 5 7 8 4 5
"6" 4 4 2 2 1 4 7 7 9 5 2 10 1 7 9 2
"7" 7 7 10 7 1 1 10 1 4 1 7 7 6 7 2 5
"8" 10 4 4 2 4 3 4 9 3 4 4 1 2 4 4 4
"9" 5 2 10 3 2 4 2 1 9 8 1 2 2 7 6 1
"10" 1 5 7 2 2 1 6 7 1 10 4 2 2 7 2 9
"11" 2 3 2 1 7 4 2 10 8 7 7 7 1 7 2 2
"12" 5 10 10 9 2 8 3 2 4 1 2 7 2 7 9 2
"13" 9 2 1 1 1 3 2 3 4 6 7 2 2 5 1 4
"14" 10 5 6 9 9 10 8 6 5 9 6 10 2 1 10 1
"15" 2 1 10 7 10 4 5 2 1 9 1 3 4 1 7 1
"16" 4 4 4 4 4 5 4 3 4 4 7 4 2 8 4 4
"17" 6 5 2 7 1 1 1 1 6 7 1 1 5 1 1 6
"18" 1 2 1 3 1 7 2 3 1 4 2 8 2 1 9 2
"19" 3 10 9 2 8 2 4 7 8 6 8 6 6 7 6 4
"20" 4 2 9 4 2 9 4 9 4 4 7 3 9 7 1 6
"21" 9 7 9 10 7 9 2 2 9 2 6 10 8 10 9 7
"22" 9 9 2 9 9 6 3 2 7 3 9 9 5 10 9 9
"23" 2 2 7 7 2 6 2 7 2 3 2 2 4 7 7 9
"24" 9 9 9 1 2 10 4 6 2 6 7 3 2 7 7 2
"25" 7 2 7 2 1 1 9 1 1 2 7 8 1 10 2 2
"26" 4 4 4 3 6 1 4 9 8 4 2 1 3 4 4 8
"27" 10 1 9 2 7 9 7 7 3 9 2 7 2 7 9 2
"28" 6 8 6 6 9 9 3 10 3 4 6 6 6 3 10 6
"29" 6 2 4 4 5 1 4 4 4 4 4 8 3 8 4 4
"30" 4 10 3 4 6 6 6 3 2 9 4 3 8 8 4 4
"31" 2 2 2 2 2 10 7 2 8 2 2 7 3 2 2 2
"32" 2 2 9 2 9 6 4 7 3 9 7 7 8 2 7 1
"33" 7 2 2 9 9 1 4 4 7 3 9 10 5 9 9 6
"34" 10 2 2 2 2 8 4 7 1 9 2 9 5 2 9 9
"35" 5 8 1 6 4 8 3 1 2 2 8 8 5 2 5 2
"36" 10 4 1 7 4 7 4 9 4 4 4 4 3 4 6 8
"37" 1 3 1 4 7 1 4 4 4 6 4 9 4 1 10 2
"38" 4 4 6 2 9 10 4 9 7 6 4 10 6 4 9 6
"39" 7 7 4 4 2 8 3 7 4 4 7 9 9 4 4 9
"40" 10 4 1 2 2 2 6 9 10 6 7 3 8 6 7 3
"41" 8 5 6 3 4 4 4 9 6 6 6 6 6 9 8 6
"42" 4 4 4 1 4 8 4 4 10 4 8 4 4 6 4 4
"43" 2 2 7 2 9 2 4 2 2 7 5 2 3 2 2 2
"44" 2 2 2 1 2 9 3 2 9 2 2 1 2 2 1 2
"45" 2 2 2 2 2 5 2 7 2 2 7 9 3 2 2 9
"46" 1 5 1 1 4 4 7 1 3 2 8 3 3 1 1 1
"47" 10 7 1 9 2 9 4 7 4 1 2 1 2 2 9 2
"48" 4 4 4 4 4 10 4 4 3 4 4 4 8 4 4 4
"49" 5 5 10 1 4 1 7 2 2 9 4 4 4 2 1 6
"50" 2 9 1 9 9 1 4 4 4 1 2 9 7 2 2 7
"51" 1 5 1 1 2 5 8 2 7 2 3 3 6 2 1 5
"52" 10 7 9 9 1 4 2 7 1 7 5 10 5 2 9 1
"53" 6 5 10 9 9 3 4 9 6 1 6 10 6 6 9 1
"54" 2 9 2 2 2 5 8 2 7 6 7 2 3 6 2 2
"55" 1 1 1 1 1 7 7 4 2 9 2 6 5 2 1 2
"56" 6 5 5 1 5 4 3 2 2 5 8 6 6 9 10 9
"57" 1 1 1 4 2 5 4 1 6 9 7 4 4 4 4 6
"58" 4 4 4 9 6 7 4 4 10 7 4 9 8 6 9 6
"59" 10 10 9 2 9 4 4 2 9 4 10 8 2 6 9 6
"60" 4 4 4 4 4 2 4 4 10 4 4 2 5 9 4 4
